timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-05-20 14:13:16.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14468.0
2024-05-20 14:13:21.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14473.0
2024-05-20 14:13:26.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14476.0
2024-05-20 14:13:31.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14479.0
2024-05-20 14:13:36.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14479.0
2024-05-20 14:13:41.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14479.0
2024-05-20 14:13:46.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14480.0
2024-05-20 14:13:51.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14480.0
2024-05-20 14:13:56.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14480.0
2024-05-20 14:14:01.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14480.0
2024-05-20 14:14:06.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14480.0
2024-05-20 14:14:11.059000015,tgi_batch_next_tokens_count,http,10.128.2.18:3000,tgis-bam,fmaas-monitoring,llama3-mig3g-40gb,openshift-user-workload-monitoring/user-workload,tgis-bam,14480.0
